start,end,strand,gene_id,description
756053,757195,1,BAA17262,
757244,757720,1,BAA17263,
757671,758753,1,BAA17264,
758829,761228,1,BAA17265,
761482,763263,1,BAA17266,ABC transporter
763317,764072,-1,BAA17267,
764301,766538,-1,BAA17268,cation-transporting ATPase; E1-E2 ATPase
766727,767608,1,BAA17269,malonyl coenzyme A-acyl carrier protein transacylase
767890,768432,1,BAA17270,CheY subfamily
768499,768960,1,BAA17271,
769053,770291,-1,BAA17272,oxygen independent coprophorphyrinogen III oxidase
770288,770890,-1,BAA17273,
770930,771481,-1,BAA17274,
771651,772520,1,BAA17275,dihydropteroate pyrophosphorylase
772511,773905,1,BAA17276,
773827,775626,-1,BAA17277,
775687,776061,-1,BAA17278,
776058,776342,-1,BAA17279,
776551,776937,-1,BAA17280,
777066,779411,-1,BAA17281,protein conferring resistance to acetazolamide; Zam
780093,781448,1,BAA17282,
781653,783011,1,BAA17283,sigma factor SibG regulation protein; RsbU
783379,784764,1,BAA17284,L-argininosuccinate lyase
784769,785215,1,BAA17285,
785665,787812,1,BAA17286,
787809,790406,-1,BAA17287,
790719,791717,1,BAA17288,cytochrome c oxidase subunit II
791806,793461,1,BAA17289,cytochrome c oxidase subunit I
793509,794210,1,BAA17290,cytochrome c oxidase subunit III
794362,794691,1,BAA17291,thioredoxin
794764,795900,1,BAA17292,3-amino-5-hydroxybenzoic acid synthase
795932,796732,-1,BAA17293,nitrate transport protein; NrtD
796789,797631,-1,BAA17294,integral membrane components of other binding-protein-dependent transport system
797734,798792,-1,BAA17295,
798846,799535,-1,BAA17296,hydrogenase expression/formation protein; HypB
799596,799958,-1,BAA17297,
800034,801206,-1,BAA17298,agmatine ureohydrolase
801643,802152,1,BAA17299,
802207,803238,1,BAA17300,
803466,806384,-1,BAA17301,Zinc exporter
806716,809325,-1,BAA17302,leucyl-tRNA synthetase
809450,810658,1,BAA17303,glutamate permease
811489,812793,1,BAA17304,sensory transduction histidine kinase
813028,813594,1,BAA17305,
813799,815604,1,BAA17306,ABC transporter
815703,816215,1,BAA17307,
816298,816969,-1,BAA17308,
816983,817810,-1,BAA17309,
817967,819979,-1,BAA17310,transketolase
820102,821352,-1,BAA17311,beta ketoacyl-acyl carrier protein synthase
821550,821783,-1,BAA17312,acyl carrier protein
821993,822424,-1,BAA17313,
822461,822706,-1,BAA17314,
822837,823367,1,BAA17315,bacterioferritin
823383,824015,-1,BAA17316,aklaviketone reductase
824228,824785,-1,BAA17317,
824584,825831,-1,BAA17318,adenylosuccinate synthetase
826070,826249,-1,BAA17319,
826637,826882,-1,BAA17320,50S ribosomal protein L31
826935,827348,-1,BAA17321,30S ribosomal protein S9
827348,827803,-1,BAA17322,50S ribosomal protein L13
827868,828695,-1,BAA17323,pseudouridine synthase 1
828713,829063,-1,BAA17324,50S ribosomal protein L17
829141,830085,-1,BAA17325,RNA polymerase alpha subunit
830194,830586,-1,BAA17326,30S ribosomal protein S11
830635,831018,-1,BAA17327,30S ribosomal protein S13
831101,831217,-1,BAA17328,50S ribosomal protein L36
831355,831558,-1,BAA17329,initiation factor IF-1
831702,832265,-1,BAA17330,adenylate kinase
832391,833719,-1,BAA17331,preprotein translocase SecY subunit
833821,834264,-1,BAA17332,50S ribosomal protein L15
834333,834854,-1,BAA17333,30S ribosomal protein S5
834894,835256,-1,BAA17334,50S ribosomal protein L18
835260,835799,-1,BAA17335,50S ribosomal protein L6
835859,836260,-1,BAA17336,30S ribosomal protein S8
836352,836954,-1,BAA17337,50S ribosomal protein L5
837001,837348,-1,BAA17338,50S ribosomal protein L24
837349,837717,-1,BAA17339,50S ribosomal protein L14
837741,837986,-1,BAA17340,30S ribosomal protein S17
837994,838215,-1,BAA17341,50S ribosomal protein L29
838218,838637,-1,BAA17342,50S ribosomal protein L16
838678,839400,-1,BAA17343,30S ribosomal protein S3
839430,839795,-1,BAA17344,50S ribosomal protein L22
839811,840089,-1,BAA17345,30S ribosomal protein S19
840122,840952,-1,BAA17346,50S ribosomal protein L2
841002,841307,-1,BAA17347,50S ribosomal protein L23
841300,841932,-1,BAA17348,50S ribosomal protein L4
841972,842613,-1,BAA17349,50S ribosomal protein L3
843105,843575,1,BAA17350,
843613,844032,-1,BAA17351,ycf21 gene product
844180,845394,1,BAA17352,
845482,845874,1,BAA17353,
845966,846328,-1,BAA17354,cytochrome c553
846509,847810,1,BAA17355,SrrA
848074,848967,1,BAA17356,N-acetylglutamate kinase
849095,849748,1,BAA17357,urease accessory protein F
849802,850545,1,BAA17358,
850605,851585,1,BAA17359,ABC transporter
851717,852142,1,BAA17360,transposase
852031,852447,1,BAA17361,transposase
852470,852898,-1,BAA17362,transposase
852895,853281,-1,BAA17363,transposase
853497,857450,-1,BAA17364,RNA polymerase beta prime subunit
857558,860866,-1,BAA17365,RNA polymerase beta subunit
860952,861737,-1,BAA17366,
861873,862166,-1,BAA17367,30S ribosomal protein S20
862262,866377,-1,BAA17368,sensory transduction histidine kinase
866374,867144,-1,BAA17369,
867257,869569,-1,BAA17370,
869668,873270,-1,BAA17371,chromosome segregation protein SMC1
873465,874550,-1,BAA17372,
874693,875361,1,BAA17373,
875515,875979,1,BAA17374,
876008,877297,1,BAA17375,
877325,878521,1,BAA17376,
878564,878890,-1,BAA17377,
878937,879209,1,BAA17378,
879408,880043,1,BAA17379,rehydrin
880147,881838,1,BAA17380,DNA mismatch repair protein; MutL
882023,883189,1,BAA17381,high-affinity branched-chain amino acid transport protein
883287,884519,1,BAA17382,
884635,885531,1,BAA17383,lactose transport system permease protein; LacF
885641,886078,1,BAA17384,
886184,887542,1,BAA17385,serine protease; HtrA
887590,888084,1,BAA17386,ferredoxin component
888358,888993,1,BAA17387,
889061,890605,1,BAA17388,
890827,891024,1,BAA17389,
891276,893249,1,BAA17390,short-chain alcohol dehydrogenase family
893261,893590,1,BAA17391,
893583,893972,1,BAA17392,
893984,897262,1,BAA17393,CobN protein
897354,899888,1,BAA17394,ethylene response sensor protein
899937,900662,1,BAA17395,AraC subfamily
901197,902315,1,BAA17396,PatA subfamily
902387,903055,1,BAA17397,
903148,903606,-1,BAA17398,carbonic 3-dehydroquinase
904115,905506,1,BAA17399,Mg2+ transporter
905575,906789,-1,BAA17400,
906972,907826,1,BAA17401,
907990,908313,1,BAA17402,
908353,908961,-1,BAA17403,
908968,909636,-1,BAA17404,PmgA
909603,910994,-1,BAA17405,
911357,912883,1,BAA17406,L-threonine deaminase
913296,913856,1,BAA17407,
914052,914441,1,BAA17408,mannose-6-phosphate isomerase
914780,915190,-1,BAA17409,
915304,915624,1,BAA17410,10kD chaperonin
915721,917346,1,BAA17411,60kD chaperonin 1
917816,920014,1,BAA17412,
920331,920915,1,BAA17413,
920942,921196,-1,BAA17414,
921549,922637,-1,BAA17415,chorismate synthase
922844,923230,-1,BAA17416,50S ribosomal protein L12
923318,923839,-1,BAA17417,50S ribosomal protein L10
924086,924802,-1,BAA17418,50S ribosomal protein L1
924889,925314,-1,BAA17419,50S ribosomal protein L11
925416,926033,-1,BAA17420,transcription antitermination protein; NusG
926313,926558,-1,BAA17421,secretory protein; SecE
926860,927228,-1,BAA17422,50S ribosomal protein L19
927333,927758,1,BAA17423,
927959,928750,1,BAA17424,
928806,929885,-1,BAA17425,
930148,930843,-1,BAA17426,
930907,931389,-1,BAA17427,
931639,931959,1,BAA17428,ferredoxin
932071,933063,1,BAA17429,
933157,934293,1,BAA17430,poly(3-hydroxyalkanoate) synthase
934324,934707,-1,BAA17431,
934835,935236,-1,BAA17432,secreted protein MPB70
935409,936704,-1,BAA17433,
936768,938276,-1,BAA17434,NADH dehydrogenase subunit 4
938393,940240,-1,BAA17435,NADH dehydrogenase subunit 5
940638,941270,-1,BAA17436,
941686,943941,1,BAA17437,P700 apoprotein subunit Ia
944187,946382,1,BAA17438,P700 apoprotein subunit Ib
946522,947511,-1,BAA17439,
947511,949343,-1,BAA17440,ABC transporter
949397,950536,-1,BAA17441,LPS glycosyltransferase; IcsA
950533,951774,-1,BAA17442,
951797,953098,-1,BAA17443,
953752,954456,1,BAA17444,OmpR subfamily
954453,955427,-1,BAA17445,pyruvate dehydrogenase E1 beta subunit
955805,956116,1,BAA17446,carbon dioxide concentrating mechanism protein; CcmK
956275,956613,1,BAA17447,carbon dioxide concentrating mechanism protein; CcmK
956673,957788,1,BAA17448,
958137,960029,1,BAA17449,
960099,961094,1,BAA17450,cysteine synthase
961201,962730,1,BAA17451,glucose 6-phosphate dehydrogenase
962888,965800,1,BAA17452,excinuclease ABC subunit A
965938,967473,-1,BAA17453,
967567,968352,-1,BAA17454,transposase
968487,968960,-1,BAA17455,
968893,969294,-1,BAA17456,
969762,970820,-1,BAA17457,histidinol-phosphate aminotransferase
970882,971289,-1,BAA17458,DNA binding protein HU
971460,972317,-1,BAA17459,
972485,973954,1,BAA17460,
974053,975489,1,BAA17461,ATP-dependent DNA helicase; RecQ
975779,976648,1,BAA17462,
976748,977842,1,BAA17463,CbiD protein
977932,978867,1,BAA17464,
978941,979573,1,BAA17465,
979685,980170,1,BAA17466,
980276,981694,1,BAA17467,DNA-damage-inducible protein
981691,982629,-1,BAA17468,b-carotene hydroxylase
982968,983180,1,BAA17469,high light inducible protein
983229,983540,1,BAA17470,
983804,984475,1,BAA17471,RNA polymerase sigma-E factor
984562,985200,1,BAA17472,
985224,986222,1,BAA17473,
986492,987733,-1,BAA17474,
987740,987967,-1,BAA17475,
988072,989505,-1,BAA17476,
989717,991603,-1,BAA17477,cell division protein; FtsH
991735,992772,-1,BAA17478,hydrogenase expression/formation protein; HypE
992821,993483,-1,BAA17479,
993536,994213,-1,BAA17480,
994343,994906,1,BAA17481,polypeptide deformylase
995022,995219,1,BAA17482,
995275,996807,1,BAA17483,lysyl-tRNA synthetase
996850,997806,-1,BAA17484,RfbJ protein
998010,998918,-1,BAA17485,
999029,1001563,1,BAA17486,
1001639,1002106,-1,BAA17487,
1002633,1004777,-1,BAA17488,nitrate reductase
1005181,1006179,-1,BAA17489,nitrate transport protein; NrtD
1006234,1008246,-1,BAA17490,nitrate transport protein; NrtC
1008321,1009148,-1,BAA17491,nitrate transport protein; NrtB
1009234,1010574,-1,BAA17492,nitrate transport 45kD protein
1010710,1011759,-1,BAA17493,
1011975,1012619,1,BAA17494,
1012616,1012888,-1,BAA17495,rare lipoprotein A
1013045,1014337,-1,BAA17496,cell division FtsZ protein
1014587,1015396,-1,BAA17497,
1015511,1016782,1,BAA17498,carboxyl-terminal protease
1016830,1017495,1,BAA17499,
1017600,1018517,-1,BAA17500,
1018650,1019126,1,BAA17501,
1019155,1019583,1,BAA17502,urease accessory protein E
1019808,1020761,1,BAA17503,
1021421,1022008,1,BAA17504,
1022278,1024659,-1,BAA17505,DNA helicase II
1024825,1025346,-1,BAA17506,
1025423,1026442,1,BAA17507,cell division inhibitor
1026511,1027737,1,BAA17508,cytoplasmic membrane protein for maltose uptake
1027844,1029331,1,BAA17509,protein kinase; PknA
1029337,1030083,-1,BAA17510,
1030195,1030989,1,BAA17511,phosphoribosyl aminoidazole succinocarboxamide synthetase
1031202,1033787,1,BAA17512,chloroplast import-associated channel IAP75
1033902,1035545,1,BAA17513,peptide-chain-release factor 3
1035593,1037089,1,BAA17514,
1037189,1038052,1,BAA17515,
1038038,1039042,-1,BAA17516,
1039196,1039732,1,BAA17517,
1040092,1040355,1,BAA17518,
1040531,1042258,1,BAA17519,succinate dehydrogenase flavoprotein subunit
1042306,1042557,1,BAA17520,protochlorophillide reductase 57 kD subunit
1042609,1042953,1,BAA17521,protein kinase C inhibitor
1042999,1043880,1,BAA17522,
1043917,1044450,1,BAA17523,
1044517,1044693,-1,BAA17524,glycoprotein 64
1044915,1046366,-1,BAA17525,
1046402,1046830,-1,BAA17526,
1047005,1048357,1,BAA17527,cytosine deaminase
1048406,1048753,-1,BAA17528,
1048750,1049016,-1,BAA17529,
1049517,1050407,-1,BAA17530,"2-hydroxy-6-oxohepta-2,4-dienoate hydrolase"
1050490,1050729,1,BAA17531,
1050812,1051078,1,BAA17532,glutaredoxin 3
1051159,1052121,1,BAA17533,glutathione synthetase
1052518,1052784,1,BAA17534,
1052927,1053754,-1,BAA17535,naphthoate synthase
1053955,1055547,1,BAA17536,pyridine nucleotide transhydrogenase alpha subunit
1055574,1056113,1,BAA17537,
1056119,1056466,1,BAA17538,
1056714,1056944,1,BAA17539,
1056985,1058427,1,BAA17540,pyridine nucleotide transhydrogenase beta subunit
1058537,1059820,1,BAA17541,PmbA protein
1059922,1060773,1,BAA17542,
1060901,1061239,1,BAA17543,
1061242,1062111,1,BAA17544,
1062238,1065204,-1,BAA17545,isoleucyl-tRNA synthetase
1065398,1065622,1,BAA17546,
1065660,1069010,-1,BAA17547,DNA polymerase III subunit
1069178,1069609,1,BAA17548,
1069666,1071702,-1,BAA17549,
1071734,1072918,-1,BAA17550,
1073080,1075629,-1,BAA17551,glycogen phosphorylase
1076065,1076454,1,BAA17552,
1076474,1077019,-1,BAA17553,
1077755,1078612,1,BAA17554,
1078657,1080501,1,BAA17555,protein kinase
1080695,1081696,1,BAA17556,
1081887,1082141,1,BAA17557,
1082437,1084716,-1,BAA17558,single-strand-DNA-specific exonuclease; RecJ
1084757,1087753,-1,BAA17559,sensory transduction histidine kinase
1087772,1089190,-1,BAA17560,
1089400,1090323,1,BAA17561,fructokinase
1090680,1091279,1,BAA17562,
1091317,1091631,1,BAA17563,
1091698,1092894,-1,BAA17564,
1092925,1093590,-1,BAA17565,phosphoglycolate phosphatase
1093626,1094495,-1,BAA17566,
1094649,1095143,-1,BAA17567,riboflavin synthase beta subunit
1095248,1095571,-1,BAA17568,ycf9 gene product
1095772,1096683,-1,BAA17569,
1097077,1098063,1,BAA17570,30S ribosomal protein S1
1098323,1099171,1,BAA17571,transposase
1099214,1100368,-1,BAA17572,RecF protein
1100410,1102014,-1,BAA17573,ABC transporter
1102283,1104058,-1,BAA17574,pyruvate kinase
1104246,1104647,1,BAA17575,
1105030,1105545,-1,BAA17576,
1105666,1107168,1,BAA17577,
1107242,1108330,1,BAA17578,biotin synthetase
1108314,1108967,1,BAA17579,BioY protein
1108967,1109452,1,BAA17580,lipoprotein signal peptidase
1109620,1111044,-1,BAA17581,
1111185,1111955,-1,BAA17582,
1112531,1114249,-1,BAA17583,
1114429,1116021,-1,BAA17584,glutamine-binding periplasmic protein/glutamine transport system permease protein
1116360,1116629,-1,BAA17585,
1117107,1119674,1,BAA17586,glycogen phosphorylase
1119826,1120509,1,BAA17587,precorrin decarbocylase
1120643,1121524,1,BAA17588,phosphatidate cytidylyltransferase
1121627,1123180,-1,BAA17589,
1123441,1124031,-1,BAA17590,
1124071,1130007,-1,BAA17591,
1130313,1131683,-1,BAA17592,
1131810,1132247,1,BAA17593,large-conductance mechanosensitive channel
1132264,1132899,-1,BAA17594,Holliday junction DNA helicase; RuvA
1132914,1133690,-1,BAA17595,
1133879,1135108,1,BAA17596,
1135337,1135588,1,BAA17597,RNA-binding protein
1135716,1137167,1,BAA17598,amidase
1137375,1138112,1,BAA17599,
1138210,1138608,1,BAA17600,glycine decarboxylase complex H-protein
1138702,1140474,1,BAA17601,secreted protein MPB70 precursor
1140497,1141660,-1,BAA17602,carboxynorspermidine decarboxylase
1141803,1142015,-1,BAA17603,CAB/ELIP/HLIP superfamily
1142101,1142412,1,BAA17604,
1142501,1142893,-1,BAA17605,
1143047,1144231,1,BAA17606,
1144728,1146173,1,BAA17607,regulation of penicillin binding protein 5 production
1146290,1146718,-1,BAA17608,
1147034,1148098,1,BAA17609,glyceraldehyde 3-phosphate dehydrogenase
1148722,1149297,1,BAA17610,
1149471,1150067,-1,BAA17611,Leu/Phe-tRNA-protein transferase
1150122,1151033,-1,BAA17612,lipoic acid synthetase
1151139,1152431,-1,BAA17613,
1152549,1153292,1,BAA17614,3-oxoacyl-[acyl-carrier protein] reductase
1153292,1154101,1,BAA17615,
1154330,1154836,1,BAA17616,
1154857,1156083,1,BAA17617,ABC1-like
1156234,1156503,1,BAA17618,
1156580,1156975,1,BAA17619,
1157029,1158909,-1,BAA17620,excinuclease ABC subunit C
1159029,1160804,1,BAA17621,N-acetylmuramoyl-L-alanine amidase
1160787,1161260,-1,BAA17622,
1161441,1161842,-1,BAA17623,
1161856,1163367,-1,BAA17624,
1163421,1164338,-1,BAA17625,
1164496,1165017,-1,BAA17626,
1165087,1166073,-1,BAA17627,apocytochrome f
1166186,1166764,-1,BAA17628,plastoquinol--plastocyanin reductase
1167053,1167247,-1,BAA17629,photosystem II PsbH protein
1167333,1167464,1,BAA17630,photosystem II PsbN protein
1167510,1167779,-1,BAA17631,
1167961,1169019,-1,BAA17632,
1169078,1170187,-1,BAA17633,C4-dicarboxylase binding protein
1170571,1179621,1,BAA17634,
1179926,1180672,-1,BAA17635,
1181064,1181609,1,BAA17636,
1181716,1182585,1,BAA17637,
1182665,1183645,1,BAA17638,beta transducin-like protein
1183660,1184664,1,BAA17639,beta transducin-like protein
1184711,1185238,-1,BAA17640,
1185300,1186307,-1,BAA17641,
1186311,1187198,-1,BAA17642,
1187219,1188082,-1,BAA17643,
1188079,1188885,-1,BAA17644,
1189110,1189913,-1,BAA17645,
1189940,1190383,-1,BAA17646,
1190867,1191433,1,BAA17647,
1191445,1191786,1,BAA17648,
1191856,1192452,1,BAA17649,
1192485,1194308,1,BAA17650,
1194314,1194643,1,BAA17651,anti-sigma B factor antagonist
1194653,1196776,1,BAA17652,glycogen operon protein; GlgX
1196836,1197162,1,BAA17653,
1197262,1199166,1,BAA17654,ICFG protein
1199172,1199603,1,BAA17655,
1199708,1200412,1,BAA17656,
1200376,1201392,-1,BAA17657,transposase
1201494,1203014,1,BAA17658,
1203028,1204098,1,BAA17659,
1204276,1205538,1,BAA17660,
1205546,1206547,1,BAA17661,
1206947,1207993,1,BAA17662,anthranilate phosphoribosyltransferase
1208020,1208697,-1,BAA17663,deoxyribose-phosphate aldolase
1208749,1211202,-1,BAA17664,
1211638,1212420,-1,BAA17665,
1212600,1213358,1,BAA17666,
1214188,1214937,1,BAA17667,
1215453,1216151,-1,BAA17668,
1216281,1217168,1,BAA17669,transcriptional regulator
1217156,1219624,-1,BAA17670,DNA mismatch repair protein; MutS
1219654,1220418,-1,BAA17671,
1220473,1222230,-1,BAA17672,ABC1-like
1222610,1222927,-1,BAA17673,
1222937,1223209,-1,BAA17674,
1223255,1223431,-1,BAA17675,
1223666,1224646,-1,BAA17676,OppB in a binding protein-dependent transport system
1224777,1225841,1,BAA17677,D-alanine:D-alanine ligase-related protein
1225928,1226566,1,BAA17678,exopolysaccharide synthesis protein; ExoD
1226686,1226982,-1,BAA17679,
1227090,1227563,1,BAA17680,
1227591,1227932,-1,BAA17681,30S ribosomal protein S6
1228237,1229067,1,BAA17682,"5-oxo-1,2,5-tricarboxilic-3-penten acid decarboxilase/isomer"
1229120,1229938,1,BAA17683,phycocyanin alpha phycocyanobilin lyase; CpcE
1229971,1231167,-1,BAA17684,putative arylsulfatase regulatory protein
1231207,1231686,-1,BAA17685,
1231770,1232204,-1,BAA17686,
1232271,1232675,-1,BAA17687,
1232784,1233932,-1,BAA17688,
1233784,1234512,1,BAA17689,S-adenosyl-methionine: precorrin-2 methyltransferase
1234509,1235123,-1,BAA17690,
1235136,1236056,-1,BAA17691,homoserine kinase
1236316,1237449,1,BAA17692,
1237543,1238988,-1,BAA17693,
1239156,1239383,1,BAA17694,ferredoxin
1239490,1240212,1,BAA17695,high-affinity branched-chain amino acid transport ATP-binding protein; BraG
1240448,1241302,1,BAA17696,
1241313,1242191,-1,BAA17697,
1242336,1242605,1,BAA17698,
1242765,1242989,-1,BAA17699,
1243154,1244287,1,BAA17700,tryptophanyl-tRNA synthetase
1244438,1244605,1,BAA17701,
1244731,1245309,1,BAA17702,
1245395,1245859,1,BAA17703,putative iojap protein
1245892,1247115,-1,BAA17704,
1247192,1248154,1,BAA17705,porphobilinogen deaminase
1248284,1250176,1,BAA17706,
1250442,1252535,1,BAA17707,phosphotransacetylase
1252593,1253207,-1,BAA17708,
1253269,1253982,-1,BAA17709,sugar fermentation stimulation protein
1254036,1254623,-1,BAA17710,
1254783,1255739,-1,BAA17711,RNA polymerase sigma factor
1256125,1256751,-1,BAA17712,
1256905,1258263,-1,BAA17713,UDP-N-acetylmuramoylalanine--D-glutamate ligase
1258444,1259751,-1,BAA17714,processing protease
1259760,1261052,-1,BAA17715,processing protease
1261217,1261993,1,BAA17716,hydrogenase accessory protein
1262049,1263260,1,BAA17717,GcpE protein
1263414,1263830,-1,BAA17718,
1263823,1264179,-1,BAA17719,
1264328,1267564,-1,BAA17720,DNA gyrase B subunit
1267693,1267950,-1,BAA17721,
1268189,1268308,-1,BAA17722,ycf32 gene product
1268388,1269410,1,BAA17723,
1269407,1270738,-1,BAA17724,
1271069,1272274,1,BAA17725,isopenicillin N epimerase
1272370,1273248,-1,BAA17726,
1273408,1274313,1,BAA17727,
1274352,1275281,1,BAA17728,adenine-specific DNA metylase
1275372,1276157,-1,BAA17729,transposase
1276236,1276982,-1,BAA17730,glucose dehydrogenase
1277108,1277392,-1,BAA17731,
1277442,1278122,-1,BAA17732,NarL subfamily
1278293,1280542,1,BAA17733,sensory transduction histidine kinase
1280567,1281337,-1,BAA17734,"cell-cell signaling protein, C-factor"
1281361,1283193,-1,BAA17735,protease IV
1283190,1283702,-1,BAA17736,
1283741,1284526,1,BAA17737,
1284552,1285943,1,BAA17738,transfer RNA-Gln reductase
1286105,1286902,1,BAA17739,
1286868,1288763,-1,BAA17740,extracellular solute-binding protein
1288732,1289112,-1,BAA17741,
1289389,1290354,-1,BAA17742,
1290478,1290957,1,BAA17743,
1291080,1291556,1,BAA17744,
1291631,1292092,1,BAA17745,
1292215,1292679,1,BAA17746,
1292820,1293356,1,BAA17747,
1293398,1295551,1,BAA17748,
1295568,1296380,-1,BAA17749,
1296382,1296894,-1,BAA17750,general secretion pathway protein G
1296993,1297499,-1,BAA17751,general secretion pathway protein G
1297643,1298965,-1,BAA17752,
1299120,1299725,1,BAA17753,
1299729,1300166,-1,BAA17754,
1300159,1300611,-1,BAA17755,
1300661,1301656,1,BAA17756,
1301671,1302780,-1,BAA17757,RNA polymerase sigma factor
1303295,1304596,-1,BAA17758,threonine synthase
1304971,1306443,1,BAA17759,
1306436,1309348,-1,BAA17760,
1309482,1310582,1,BAA17761,
1310575,1311234,1,BAA17762,endonuclease III
1311828,1312277,1,BAA17763,
1312309,1312803,-1,BAA17764,
1312843,1313268,-1,BAA17765,
1313278,1314639,-1,BAA17766,DNA photolyase
1314909,1316063,-1,BAA17767,
1316227,1317654,1,BAA17768,OxPPCycle gene
1317712,1318470,1,BAA17769,ABC transporter
1318719,1319330,-1,BAA17770,SOS function regulatory protein
1319546,1320541,-1,BAA17771,succinate dehydrogenase iron-sulphur protein subunit
1320835,1321839,-1,BAA17772,regulatory components of sensory transduction system
1321852,1322523,-1,BAA17773,ABC transporter
1322687,1323613,1,BAA17774,
1323672,1324763,1,BAA17775,
1324835,1325404,-1,BAA17776,membrane protein
1325715,1326134,1,BAA17777,
1326150,1326626,-1,BAA17778,
1326880,1327248,1,BAA17779,
1327367,1329115,1,BAA17780,extracellular solute-binding protein
1329388,1329990,-1,BAA17781,
1330110,1330880,1,BAA17782,
1330930,1332144,1,BAA17783,NADH dehydrogenase
1332429,1334378,1,BAA17784,N-acetylmuramoyl-L-alanine amidase
1334522,1335361,1,BAA17785,glutamate racemase
1335571,1336980,1,BAA17786,
1337299,1338636,1,BAA17787,NADH dehydrogenase
1338727,1339155,1,BAA17788,
1339155,1339631,1,BAA17789,ribosomal-protein-alanine acetyltransferase
1339656,1341122,1,BAA17790,deoxyribopyrimidine photolyase
1341131,1341724,-1,BAA17791,
1341694,1342110,-1,BAA17792,
1342052,1342612,-1,BAA17793,RNA polymerase sigma-E factor
1342775,1344130,-1,BAA17794,
1344140,1345066,-1,BAA17795,
1345117,1345677,-1,BAA17796,
1346197,1346556,1,BAA17797,transposase
1346550,1347044,1,BAA17798,transposase
1347474,1348856,-1,BAA17799,photosystem II CP43 protein
1348840,1349898,-1,BAA17800,photosystem II D2 protein
1350236,1351579,-1,BAA17801,chromosomal replication initiator protein; DnaA
1351634,1352239,-1,BAA17802,
1352256,1353431,1,BAA17803,glycinamide ribonucleotide transformylase
1353596,1353904,-1,BAA17804,
1354094,1355074,1,BAA17805,LmbP protein
1355162,1356553,1,BAA17806,
1356550,1357626,-1,BAA17807,
1357740,1358837,-1,BAA17808,
1358846,1360372,-1,BAA17809,neopullulanase
1360434,1362158,1,BAA17810,ABC transporter
1362259,1363272,1,BAA17811,
1363265,1363858,-1,BAA17812,
1363837,1364532,-1,BAA17813,orotidine 5' monophosphate decarboxylase
1364579,1365463,-1,BAA17814,
1365571,1366215,1,BAA17815,
1366464,1366769,1,BAA17816,
1367129,1369567,1,BAA17817,
1369656,1370018,1,BAA17818,
1370043,1370426,1,BAA17819,
1371168,1372286,1,BAA17820,
1372455,1375193,-1,BAA17821,DNA mismatch repair protein
1375351,1378545,1,BAA17822,
1378662,1379711,-1,BAA17823,
1379715,1380122,-1,BAA17824,
1380085,1380792,-1,BAA17825,
1380883,1381890,-1,BAA17826,adenylate cyclase
1382086,1382568,-1,BAA17827,
1382603,1383259,-1,BAA17828,
1383339,1383755,-1,BAA17829,
1383828,1384736,1,BAA17830,transcriptional regulator
1384824,1385084,1,BAA17831,transposase
1385212,1385748,1,BAA17832,transposase
1385754,1386170,-1,BAA17833,transposase
1386059,1386484,-1,BAA17834,transposase
1386578,1386919,-1,BAA17835,
1387040,1388296,-1,BAA17836,quinolene resistance protein; NorA
1388912,1389913,1,BAA17837,periplasmic phosphate binding protein
1390059,1391045,1,BAA17838,phosphate transport system permease protein; PstC
1391050,1391922,1,BAA17839,phosphate transport system permease protein; PstA
1391976,1392791,1,BAA17840,phosphate transport ATP-binding protein; PstB
1392972,1393487,1,BAA17841,peptidyl-prolyl cis-trans isomerase
1393616,1393906,-1,BAA17842,pterin-4a-carbinolamine dehydratase
1393938,1395755,-1,BAA17843,
1395922,1396176,1,BAA17844,
1396311,1397069,-1,BAA17845,
1397211,1397525,1,BAA17846,
1397819,1399237,1,BAA17847,phytoene desaturase
1399298,1400311,1,BAA17848,phytoene synthase
1400488,1400901,-1,BAA17849,glutathione S-transferase
1401059,1401361,1,BAA17850,urease gamma subunit
1401809,1403002,1,BAA17851,
1403199,1403954,1,BAA17852,
1404085,1404783,1,BAA17853,
1404839,1405372,1,BAA17854,
1405436,1405975,1,BAA17855,
1405981,1406847,1,BAA17856,
1407043,1408455,1,BAA17857,
1408483,1409649,-1,BAA17858,
1409730,1410152,-1,BAA17859,
1410187,1410990,-1,BAA17860,extragenic suppressor
1410995,1412098,-1,BAA17861,histidinol phosphate aminotransferase
1412237,1412551,-1,BAA17862,arsenical resistance operon repressor
1412923,1413666,1,BAA17863,water channel protein
1414126,1416822,1,BAA17864,DNA topoisomerase I
1416843,1417247,1,BAA17865,ferredoxin
1417284,1418681,1,BAA17866,
1418995,1419573,-1,BAA17867,
1419906,1420511,-1,BAA17868,
1420550,1420846,-1,BAA17869,
1420940,1422142,1,BAA17870,transposase
1422426,1427651,-1,BAA17871,hemolysin
1428196,1428930,-1,BAA17872,
1429329,1430072,-1,BAA17873,
1430419,1430904,1,BAA17874,allophycocyanin a chain
1431000,1431485,1,BAA17875,allophycocyanin b chain
1431698,1431901,1,BAA17876,phycobilisome LC linker polypeptide
1431996,1432898,-1,BAA17877,ribosomal protein L11 methyltransferase; PrmA
1432976,1434640,-1,BAA17878,phosphoglycerate dehydrogenase
1434901,1435623,1,BAA17879,
1435645,1436658,1,BAA17880,adenylate cyclase
1436699,1437163,1,BAA17881,glutathione peroxidase
